id|site|cap|act
3563770269|34403|65742|E
3563774487|38148|72900|E
3563776666|22627|43900|E
3563776667|25897|48900|E
3563777277|41026|98900|E
3563779155|26721|50900|E
3563779976|17543|33900|E
3563780431|51750|98900|E
3563780794|22338|43900|E
3563781595|31051|73900|E
3563782177|22015|41614|E
3563782971|19335|37900|E
3563783185|38016|72900|E
3563784815|32496|61900|E
3563787561|32338|61605|E
3563787718|22736|43900|E
3563788099|34489|65900|E
3563788573|31347|59900|E
3563789801|34489|65900|E
3563790932|15623|29900|E
3563790935|25246|61314|E
3563790943|22124|41580|E
3563791553|27663|52878|E
3563792998|51223|98900|E
3563793441|37581|72900|E
3563795001|47482|92250|E
3563796321|38148|72900|E
3563798116|31896|61314|E
3563800604|34169|65294|E
3563802021|20652|39900|E
3563803288|37257|70900|E
3563804287|29255|55900|E
3563804951|22635|43778|E
3563806191|17569|33900|E
3563807127|25369|47900|E
3563807338|30007|58257|E
3563807561|26638|50703|E
3563809760|29302|55900|E
3563814838|26407|49900|E
3563815801|35504|67900|E
3563818712|26484|49800|E
3563822509|38796|74900|E
3563822960|36013|68475|0
3563826158|16968|32643|E
3563827463|25674|48241|E
3563828040|31270|59900|E
3563831695|31986|61602|E
3563835060|31225|59479|E
3567818572|10695|19900|E
3568200597|25354|47900|E
3569624725|18735|35900|E
3569624730|17654|33900|E
3569624735|31270|59900|E
3569624744|18735|35900|E
3569624747|12016|22900|E
3569624748|17654|33900|E
3569624750|25897|48900|E
3569624756|28608|55037|E
3569624775|31217|60133|E
3569624778|18735|35900|E
3569624779|26639|50900|E
3569624780|20028|38559|E
3569624786|31504|59900|E
3569624789|26639|50900|E
3569656689|44831|85746|E
3569656697|45915|87900|E
3569656704|40528|77836|E
3569656707|42543|81688|E
3569656708|51758|98900|E
3569656714|38991|74900|E
3569656720|45915|87900|E
3569656722|42664|81688|E
3574898929|26040|49674|E
3574898971|37265|70900|E
3574898975|26040|49674|E
3574899028|37265|70900|E
3574899033|26500|50970|E
3646921556|31512|59900|E
3646921560|40259|76934|0
3657517785|60744|115900|E
3657517788|62317|118900|E
3657517789|49223|93900|E
3657517792|47651|90900|E
3657517799|64413|122900|E
3657517823|54980|104900|E
3657517824|62317|118900|E
3657517825|68605|130900|E
3657517829|47651|90900|E
3657517840|42410|80900|E
3657517846|68605|130900|E
3657517849|66508|126900|E
3657517853|58648|111900|E
3657517864|57601|109900|E
3657517868|96902|184900|E
3657517872|62317|118900|E
3657517877|47651|90900|E
3657517880|109478|208900|E
3657517882|64413|122900|E
3657517888|62317|118900|E
3657517899|62317|118900|E
3657517900|58648|111900|E
3657517902|54980|104900|E
3657517905|49223|93900|E
3657517911|62317|118900|E
3657517912|47651|90900|E
3657517915|67032|127900|E
3657517934|47651|90900|E
3657517939|68605|130900|E
3657517943|80657|153900|E
3657517946|60744|115900|E
3657517948|74368|141900|E
3657517963|42410|80900|E
3657517969|96902|184900|E
3657517981|57601|109900|E
3657517983|60744|115900|E
3657517988|54980|104900|E
3657517994|96902|184900|E
3657517997|58648|111900|E
3657518001|64413|122900|E
3657518002|66508|126900|E
3657518012|62317|118900|E
3657518019|96902|184900|E
3657518024|96902|184900|E
3657518025|89565|170900|E
3657518027|62317|118900|E
3657518030|46898|89464|E
3657518031|57601|109900|E
3657518047|89565|170900|E
3657518049|49223|93900|E
3657518060|47651|90900|E
3657518063|80657|153900|E
3657518076|89565|170900|E
3657518100|74368|141900|E
3657518116|109478|208900|E
3657518119|109478|208900|E
3657518121|74368|141900|E
3657518124|74368|141900|E
3657518129|74368|141900|E
3657518131|80657|153900|E
3657518132|109478|208900|E
3657518139|62317|118900|E
3657518143|109478|208900|E
3657518176|109478|208900|E
3658010742|11696|21900|E
3658010748|11696|21900|E
3658010753|11696|21900|E
3658010754|11696|21900|E
3658010761|11755|21900|E
3658010771|11755|21900|E
3658206678|28048|51900|E
3658206683|32371|60900|E
3658206686|29455|54900|E
3658206696|41146|76900|E
3658206706|32371|60900|E
3658206721|29159|53900|E
3658206722|24884|46190|E
3658206737|41146|76900|E
3658206743|25725|47900|E
3658206745|25725|47900|E
3658206751|41146|76900|E
3658206757|16254|30900|E
3658206761|25725|47900|E
3658206774|32371|60900|E
3658206790|27725|51730|E
3658249516|5349|7891|E
3658249523|7480|13900|E
3658249556|8047|14900|E
3658249563|5349|7891|E
3658249574|16787|31800|0
3658249575|6492|11900|E
3658249576|18756|35532|E
3658249586|8047|14900|E
3658249587|9495|17900|E
3658249588|12110|22900|E
3659249685|30797|56900|E
3659249873|47775|87900|E
3659250167|56304|103900|E
3659251169|27652|51900|E
3659251236|45059|82900|E
3659256583|14418|27900|E
3659257206|47080|86620|E
3659257764|20023|38900|E
3659259933|56022|103378|E
3659260585|46556|85656|E
3659261530|24311|44900|E
3659262161|20023|38900|E
3659262167|42342|77900|E
3659262747|52666|96900|E
3659263052|59555|109900|E
3659264182|47775|87900|E
3659264183|41798|76900|E
3659264186|47775|87900|E
3659267416|20023|38900|E
3659269082|14435|27900|E
3659269582|45059|82900|E
3659269583|44515|81900|E
3659270354|15978|30900|E
3659270444|59555|109900|E
3659270978|43428|79900|E
3659270980|33647|61900|E
3659270983|47080|86620|E
3659270987|42885|78900|E
3659271182|16848|31566|E
3659271234|23770|43900|E
3659271348|22438|41900|E
3659271911|33834|75899|M
3659272104|24311|44900|E
3659272196|20023|38900|E
3659272209|24311|44900|E
3659272473|57388|105900|E
3659272833|37994|69900|E
3659273004|47775|87900|E
3659273008|16254|30900|E
3659273021|57388|105900|E
3659273281|25935|47900|E
3659273470|40168|73900|E
3659273569|42885|78900|E
3659273665|57388|105900|E
3659273914|25934|47899|M
3659274222|96902|184900|E
3659274427|44654|82156|E
3659274444|59555|109900|E
3659274852|48442|109900|E
3659276447|25935|47900|E
3659276465|41255|75900|E
3659277258|44654|82156|E
3659278196|39081|71900|E
3659278742|49949|91900|E
3659278750|41255|75900|E
3659278929|45059|82900|E
3659279030|30797|56900|E
3659279175|25935|47900|E
3659280260|40168|73900|E
3659280377|47775|87900|E
3659280545|52122|95899|M
3659280578|42342|77900|E
3659280587|16054|30900|E
3659280591|48934|90031|E
3659280827|47775|87900|E
3659281012|56304|103900|E
3659281291|41254|75899|M
3659281507|46556|85656|E
3659281768|48934|90031|E
3659281775|33810|60900|E
3659282911|51036|93900|E
3659282912|47775|87900|E
3659283519|11755|21900|E
3659283520|39081|71900|E
3659283526|74368|141900|E
3659283803|41255|75900|E
3659284050|57388|105900|E
3659284159|51036|93900|E
3659284512|58471|107900|E
3659284516|35821|65900|E
3659284517|52666|96900|E
3659285181|77435|142900|E
3659285197|57388|105900|E
3659285518|46575|83900|E
3659285521|52666|96900|E
3659286507|37994|69900|E
3659287265|46556|85656|E
3659287350|47775|87900|E
3659287352|59555|109900|E
3659287354|49949|91900|E
3659287627|46556|85656|E
3659287634|17275|32377|E
3659287904|41255|75900|E
