camp|ts|type|change|sku|user
35407946|2026-09-07T08:13:51Z|Активация|Активировали кампанию||diana1
35407946|2026-09-08T09:17:11Z|Бюджет|Недельный бюджет 30000 -> 25000||diana1
35407946|2026-09-08T16:09:11Z|Бюджет|Недельный бюджет 25000 -> 20000||diana1
35407946|2026-09-09T08:15:07Z|Стратегия|Автостратегия -> Средняя стоимость клика||diana1
35407946|2026-09-09T08:15:07Z|Бюджет|Недельный бюджет 20000 -> 15000||diana1
35407946|2026-09-09T08:15:07Z|Ставка|0 -> 39 ₽|3492791902|diana1
35407946|2026-09-09T08:15:16Z|Ставка|39 -> 33 ₽|3492791902|diana1
35407946|2026-09-09T08:15:44Z|Стратегия|Средняя стоимость клика -> Автостратегия||diana1
35407946|2026-09-09T08:15:44Z|Ставка|33 -> 0 ₽|3492791902|diana1
35407946|2026-09-09T13:00:43Z|Стратегия|Автостратегия -> Средняя стоимость клика||diana1
35407946|2026-09-09T13:00:43Z|Ставка|0 -> 39 ₽|3492791902|diana1
35407946|2026-09-09T13:00:48Z|Ставка|39 -> 30 ₽|3492791902|diana1
35407946|2026-09-09T13:21:56Z|Ставка|30 -> 32 ₽|3492791902|diana1
35407946|2026-09-09T18:13:47Z|Ставка|32 -> 29 ₽|3492791902|diana1
35407946|2026-09-10T06:42:19Z|Ставка|29 -> 27 ₽|3492791902|diana1
37007560|2026-09-07T08:13:54Z|Активация|Активировали кампанию||diana1
37007560|2026-09-09T13:00:26Z|Стратегия|Автостратегия -> Средняя стоимость клика||diana1
37007560|2026-09-09T13:00:26Z|Ставка|0 -> 31 ₽|4865596071|diana1
37007560|2026-09-09T13:00:32Z|Ставка|31 -> 17 ₽|4865596071|diana1
37007560|2026-09-09T13:00:33Z|Ставка|17 -> 27 ₽|4865596071|diana1
37007560|2026-09-09T13:23:15Z|Ставка|27 -> 20 ₽|4865596071|diana1
37007560|2026-09-09T17:59:58Z|Ставка|20 -> 23 ₽|4865596071|diana1
37007560|2026-09-09T17:59:59Z|Ставка|23 -> 24 ₽|4865596071|diana1
37675958|2026-09-07T08:14:02Z|Активация|Активировали кампанию||diana1
37675958|2026-09-09T12:52:04Z|Ставка|30 -> 25 ₽|5426756030|diana1
37239106|2026-09-07T08:13:58Z|Активация|Активировали кампанию||diana1
37239106|2026-09-09T12:51:13Z|Ставка|40 -> 25 ₽|3564841366|diana1
37239106|2026-09-09T13:28:02Z|Ставка|25 -> 34 ₽|3564841366|diana1
37239106|2026-09-09T13:28:06Z|Ставка|34 -> 32 ₽|3564841366|diana1
37239106|2026-09-09T13:28:07Z|Ставка|32 -> 30 ₽|3564841366|diana1
37239106|2026-09-09T13:28:10Z|Ставка|30 -> 29 ₽|3564841366|diana1
37239106|2026-09-09T13:28:13Z|Ставка|29 -> 30 ₽|3564841366|diana1
37676554|2026-09-07T08:14:04Z|Активация|Активировали кампанию||diana1
37676554|2026-09-09T08:16:14Z|Стратегия|Автостратегия -> Средняя стоимость клика||diana1
37676554|2026-09-09T08:16:14Z|Ставка|0 -> 57 ₽|5444471508|diana1
37676554|2026-09-09T08:16:18Z|Стратегия|Средняя стоимость клика -> Автостратегия||diana1
37676554|2026-09-09T08:16:18Z|Ставка|57 -> 0 ₽|5444471508|diana1
37676554|2026-09-09T12:53:51Z|Стратегия|Автостратегия -> Средняя стоимость клика||diana1
37676554|2026-09-09T12:53:51Z|Бюджет|Недельный бюджет 35000 -> 30000||diana1
37676554|2026-09-09T12:53:51Z|Ставка|0 -> 57 ₽|5444471508|diana1
37676554|2026-09-09T13:28:53Z|Ставка|57 -> 51 ₽|5444471508|diana1
37676554|2026-09-09T13:28:55Z|Ставка|51 -> 50 ₽|5444471508|diana1
37676554|2026-09-09T13:28:56Z|Ставка|50 -> 49 ₽|5444471508|diana1
37676554|2026-09-09T13:28:57Z|Ставка|49 -> 48 ₽|5444471508|diana1
37676554|2026-09-10T11:33:00Z|Ставка|48 -> 29 ₽|5444471508|ekaterina.e
37676554|2026-09-11T21:13:56Z|Ставка|29 -> 25 ₽|5444471508|ekaterina.e
39485093|2026-09-07T08:14:09Z|Активация|Активировали кампанию||diana1
39485093|2026-09-09T12:55:11Z|Стратегия|Автостратегия -> Средняя стоимость клика||diana1
39485093|2026-09-09T12:55:11Z|Ставка|0 -> 52 ₽|3492795221|diana1
39485093|2026-09-09T12:55:15Z|Ставка|52 -> 40 ₽|3492795221|diana1
39485093|2026-09-09T13:29:12Z|Ставка|40 -> 32 ₽|3492795221|diana1
39485093|2026-09-10T11:31:23Z|Деактивация|Деактивировали кампанию||ekaterina.e
39931246|2026-09-07T08:14:13Z|Активация|Активировали кампанию||diana1
39931246|2026-09-09T08:17:04Z|Ставка|61 -> 50 ₽|3492802310|diana1
39931246|2026-09-09T13:29:20Z|Ставка|50 -> 49 ₽|3492802310|diana1
39931246|2026-09-13T17:15:52Z|Ставка|49 -> 46 ₽|3492802310|diana1
39931246|2026-09-13T17:15:55Z|Ставка|46 -> 45 ₽|3492802310|diana1
40047060|2026-09-07T13:18:36Z|Бюджет|Недельный бюджет 10000 -> 15000||diana1
40015169|2026-09-07T08:14:16Z|Активация|Активировали кампанию||diana1
40015169|2026-09-09T12:54:24Z|Ставка|55 -> 32 ₽|3564831766|diana1
