Модель,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
В ПРОДАЖЕ (зеркала в раме),,,,,
EVELUM ,"7 031,72",55%,7%,11%,73%
EVELIX S ,"5 102,23",55%,5%,11%,71%
EVELIX L ,"6 556,42",55%,7%,11%,73%
KVADEN M ,"6 098,86",55%,7%,11%,73%
KVADEN L ,"8 405,90",55%,6%,11%,72%
HALFEO XL ,"11 496,21",55%,3%,11%,69%
KUVINO M ,"8 804,94",55%,6%,11%,72%
KUVINO L ,"10 771,78",55%,6%,11%,72%
NOLVIS S ,"6 713,44",55%,4%,11%,70%
NOLVIS M ,"8 719,91",55%,5%,11%,71%
NOLVIS L ,"11 047,82",55%,6%,11%,72%
RAUNTEL M ,"8 831,04",55%,4%,11%,70%
RAUNTEL L ,"11 798,31",55%,5%,11%,71%
ARKELO ,"4 942,67",55%,5%,11%,71%
ARKIS L ,"13 216,58",55%,6%,11%,72%
OZEVIS ,"17 716,07",55%,5%,11%,71%
ZELISO-1 ,"9 661,01",55%,8%,11%,74%
KVADEN XL ,"12 017,38",55%,2%,11%,68%
HALFEO Slim XL ,"12 781,10",55%,2%,11%,68%
HALFEO Leg XL ,"13 293,58",55%,2%,11%,68%
RONTUS M ,"13 387,04",55%,4%,11%,70%
ARKIS M ,"10 524,47",55%,5%,11%,71%
HALFEO Slim S ,"8 452,02",55%,6%,11%,72%
HALFEO Slim M ,"8 119,24",55%,4%,11%,70%
HALFEO Slim L ,"10 420,78",55%,6%,11%,72%
WINDIX R 200*100 (прямоугольник),"20 044,78",55%,6%,11%,72%
WINDIX R 200*120 (прямоугольник),"21 739,62",55%,6%,11%,72%
WINDIX A 183*83 (арка),"22 412,62",55%,6%,11%,72%
ТЕСТОВЫЕ РАСЧЁТЫ,,,,,
EVELUM + EVESA,"15 098,34",49%,7%,11%,67%
KVADEN L + ZILOSI,"14 307,58",49%,7%,11%,67%
ZELISO + ZILOSI,"15 846,94",49%,7%,11%,67%
ARFEO 80 + EVELIX S ,"15 024,58",49%,7%,11%,67%
,,,,,
,,,,,
,,,,,
(ГГС) Зеркала в раме с подсветкой,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
В ПРОДАЖЕ,,,,,
KUVINO M LED ,"12 213,66",55%,7%,11%,73%
NOLVIS M LED ,"11 770,10",55%,7%,11%,73%
NOLVIS L LED ,"15 352,94",55%,7%,11%,73%
ARKIS L LED ,"17 478,14",55%,7%,11%,73%
RONTUS M LED ,"17 830,50",55%,7%,11%,73%
ТЕСТОВЫЕ РАСЧЁТЫ,,,,,
EVELIX S LED,"11 615,34",55%,7%,11%,73%
EVELIX L LED,"15 367,46",55%,7%,11%,73%
KVADEN M LED,"13 130,54",55%,7%,11%,73%
KVADEN L LED,"18 464,66",55%,7%,11%,73%
HALFEO XL LED,"19 290,94",55%,7%,11%,73%
KUVINO L LED,"19 421,22",55%,7%,11%,73%
NOLVIS S LED,"13 111,90",55%,7%,11%,73%
RAUNTEL M LED,"14 124,46",55%,7%,11%,73%
RAUNTEL L LED,"17 866,94",55%,7%,11%,73%
ARKELO LED,"12 477,62",55%,7%,11%,73%
KVADEN XL LED,"22 677,50",55%,7%,11%,73%
HALFEO Slim XL LED,"21 454,14",55%,7%,11%,73%
HALFEO Leg XL LED,"23 657,34",55%,7%,11%,73%
,,,,,
,,,,,
"(ГГС) Безрамные зеркала 
с подсветкой",С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
В ПРОДАЖЕ,,,,,
NOLVIS NF LED S,"4 110,88",55%,7%,11%,73%
NOLVIS NF LED S (с),"4 598,28",55%,7%,11%,73%
NOLVIS NF LED M,"5 321,68",55%,7%,11%,73%
NOLVIS NF LED M (с),"5 809,08",55%,7%,11%,73%
NOLVIS NF LED L,"7 603,68",55%,7%,11%,73%
NOLVIS NF LED L (с),"8 091,08",55%,7%,11%,73%
NOLVIS NF LED XL,"10 677,68",55%,7%,11%,73%
NOLVIS NF LED XL (с),"11 259,08",55%,7%,11%,73%
ARKELO NF LED S,"4 110,88",55%,7%,11%,73%
ARKELO NF LED S (с),"4 598,28",55%,7%,11%,73%
KUVINO NF LED M,"5 631,88",55%,7%,11%,73%
KUVINO NF LED M (с),"6 119,28",55%,7%,11%,73%
KUVINO NF LED L,"7 383,68",55%,7%,11%,73%
KUVINO NF LED L (с),"7 871,08",55%,7%,11%,73%
RAUNTEL NF LED M,"5 021,28",55%,7%,11%,73%
RAUNTEL NF LED M (с),"5 508,68",55%,7%,11%,73%
RAUNTEL NF LED L ,"6 697,28",55%,7%,11%,73%
RAUNTEL NF LED L (с) ,"7 184,68",55%,7%,11%,73%
ARKIS NF LED M (с) 3в1 ,"7 328,28",55%,7%,11%,73%
ARKIS NF LED L ,"9 030,48",55%,7%,11%,73%
ARKIS NF LED L (с) ,"9 605,88",55%,7%,11%,73%
HALFEO NF LED S (с) 3в1 ,"5 955,68",55%,7%,11%,73%
HALFEO NF LED M (с) 3в1 ,"5 483,68",55%,7%,11%,73%
HALFEO NF LED L (с) 3в1 ,"6 909,28",55%,7%,11%,73%
HALFEO Slim NF LED XL ,"8 604,48",55%,7%,11%,73%
HALFEO Slim NF LED XL (с) ,"9 185,88",55%,7%,11%,73%
HALFEO NF LED XL ,"9 218,88",55%,7%,11%,73%
HALFEO NF LED XL (с) ,"9 800,28",55%,7%,11%,73%
RONTUS NF LED M (c) 3в1 ,"8 568,08",55%,7%,11%,73%
RONTUS NF LED XL ,"11 763,28",55%,7%,11%,73%
RONTUS NF LED XL (с) ,"12 344,68",55%,7%,11%,73%
"OSOLIS (1400*700, 500*700)","9 307,36",55%,7%,11%,73%
"KVANEL (1600*800, 600*800)","10 094,08",55%,7%,11%,73%
ILLUMORA (1600*600),"12 220,28",55%,7%,11%,73%
"ILLUMORA DUO (1600*600, 400*600)","13 816,68",55%,7%,11%,73%
ТЕСТОВЫЕ РАСЧЁТЫ,,,,,
HALFEO Slim XL NF LED Front,"12 161,26",55%,7%,11%,73%
,,,,,
,,,,,
,,,,,
(ГГС) Мебель,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
В ПРОДАЖЕ,,,,,
EVESA,"4 439,93",49%,16%,11%,76%
ZILOSI,"5 047,74",49%,17%,11%,77%
RILONI,"6 428,48",49%,10%,11%,70%
HORSIX Pouf,"6 463,21",49%,2%,11%,62%
TRUBIS S Wood 40,"11 374,50",49%,3%,11%,63%
TRUBIS S Wood 60,"12 134,34",49%,3%,11%,63%
TRUBIS M Wood 60 ,"15 498,38",49%,3%,11%,63%
TRUBIS M Wood 80 ,"16 612,90",49%,3%,11%,63%
TRUBIS M Wood 100 ,"17 787,58",49%,3%,11%,63%
TRUBIS M Wood 120 ,"18 719,26",49%,3%,11%,63%
TRUBIS L 400 Wood 80,"14 957,87",43%,3%,11%,57%
TRUBIS L 400 Wood 90,"15 825,83",43%,3%,11%,57%
TRUBIS L 400 Wood 100,"16 294,79",43%,3%,11%,57%
TRUBIS L 400 Wood 110,"16 857,27",43%,3%,11%,57%
TRUBIS L 400 Wood 120,"17 523,75",43%,3%,11%,57%
TRUBIS E Oval Wood 120,"17 894,75",43%,3%,11%,57%
TRUBIS E Oval Wood 140,"18 300,71",43%,3%,11%,57%
TRUBIS E Oval Wood 160,"19 397,67",43%,3%,11%,57%
TRUBIS O Oval Wood 180,"23 038,92",43%,3%,11%,57%
TRUBIS O Oval Wood 200,"23 754,52",43%,3%,11%,57%
TRUBIS L Max D90/120 х 90 ,"22 905,32",43%,3%,11%,57%
TRUBIS R Max 120/160 х 80 ,"26 381,73",43%,3%,11%,57%
TRUBIS R Max 140/170 х 90 ,"27 806,97",43%,3%,11%,57%
TRUBIS Oval 140 Керамический,"35 372,65",43%,3%,11%,57%
TRUBIS Oval 160 Керамический,"37 087,25",43%,3%,11%,57%
TRUBIS Oval 180 Керамический,"50 630,06",43%,3%,11%,57%
TRUBIS Oval 200 Керамический,"52 493,26",43%,3%,11%,57%
TRUBIS L керамический D100 ,"34 227,29",43%,3%,11%,57%
TRUBIS Console 80,"12 252,00",43%,3%,11%,57%
TRUBIS Console 100,"12 952,00",43%,3%,11%,57%
TRUBIS Console 120,"13 674,00",43%,3%,11%,57%
VIOLUR овал 140,"15 490,12",43%,3%,11%,57%
VIOLUR овал 160,"16 579,72",43%,3%,11%,57%
VIOLUR овал 180,"17 741,32",43%,3%,11%,57%
VIOLUR овал 200,"18 440,92",43%,3%,11%,57%
VIOLUR Console 70,"11 484,94",43%,3%,11%,57%
VIOLUR Console 120,"12 115,82",43%,3%,11%,57%
VIOLUR Max 110/140 х 70,"21 490,06",43%,3%,11%,57%
VIOLUR Max 120/190 х 80,"24 117,26",43%,3%,11%,57%
ARFEO прям 80 ,"9 968,74",43%,3%,11%,57%
ARFEO прям 100 ,"10 437,06",43%,3%,11%,57%
ARFEO прям 120 ,"10 945,38",43%,3%,11%,57%
ARFEO DUO стол 180 ,"21 353,82",43%,3%,11%,57%
ARFEO DUO стол 200 ,"21 761,50",43%,3%,11%,57%
BAAKIS б\цв 160,"18 643,78",43%,3%,11%,57%
