order,vedomost,offer,shipped,status,ship,buyer,tags
18323754-0265-1,М26-3645,GGT-03-2-4-E-16080,22 июля,ОТМЕНЕН,,2699.0,Яндекс
51902799873,,GGM-01-2,2 сентября,Доставлен,4202.29,,"Яндекс, Рекламация"
51925738562,М26-3753,GGTW-03-18090,29 июля,Доставлен,,3354.0,"Яндекс, Рекламация"
53159428483,,GGM-04-1,6 апреля,Вернули на склад,,,"Яндекс, Рекламация"
53893441411,М26-3651,GGTW-02-20090,23 июля,Доставлен,7686.0,,"Яндекс, Рекламация, ПЭК"
54234425283,М26-573,GGT-03-3-3-O-20090,3 марта,Вернули на склад,8243.0,,"Яндекс, Рекламация, ПЭК"
54532479040,М26-3238,GGTW-02-d110,30 июня,Доставлен,2228.0,,"Яндекс, Рекламация, ПЭК"
54635558850,М26-812,GGT-03-2-5-E-14080,3 марта,ОТМЕНЕН,,3500.0,Яндекс
54812696769,М26-3294,GGTW-03-14080,2 июля,Доставлен,,,Яндекс
54966977793,М26-945,GGT-03-2-1-O-18090,12 марта,ОТМЕНЕН,,2500.0,Яндекс
56097778307,М26-1608,GGT-35-2-2-100-180,22 апреля,ОТМЕНЕН,,1000.0,Яндекс
56121864322,М26-1640,GGT-03-1-5-E-14080,1 мая,Доставлен,3043.9,1500.0,Яндекс
56127585986,М26-1643,GGT-35-1-3-100-180,14 мая,Доставлен,4829.98,2500.0,Яндекс
56140908675,М26-1647,GGT-35-2-3-100-180,14 мая,Доставлен,4640.88,2000.0,Яндекс
56145796865,М26-1653,GGT-35-2-3-100-180,14 мая,Доставлен,4390.78,2000.0,Яндекс
56167901954,М26-1677,GGT-35-2-3-100-180,14 мая,Доставлен,4640.88,3500.0,Яндекс
56171140803,М26-1681,GGT-35-1-3-100-180,18 мая,Доставлен,5410.09,3700.0,Яндекс
56173286529,М26-1685,GGT-35-1-3-100-180,18 мая,Доставлен,6736.09,3700.0,Яндекс
56181812802,М26-1690,GGT-03-3-5-E-14080,1 мая,Доставлен,4495.7,3500.0,Яндекс
56181812802,М26-2651,GGTW-05-14080,2 июня,Доставлен,4489.0,,"Яндекс, Рекламация"
56217170752,М26-1725,GGT-35-1-3-100-180,21 мая,ОТМЕНЕН,,3000.0,Яндекс
56218213698,М26-1732,GGT-35-2-3-100-180,21 мая,Доставлен,4836.08,3500.0,Яндекс
56233996545,М26-1739,GGT-35-2-3-100-180,13 мая,Собственная доставка,,2500.0,Яндекс
56247345475,М26-1745,GGT-35-1-3-100-180,22 мая,Доставлен,5537.58,3500.0,Яндекс
56255091011,М26-1748,GGT-03-2-2-L-100,21 апреля,Доставлен,5810.51,3500.0,"Яндекс, ПЭК"
56256574210,М26-1750,GGT-35-2-3-100-180,20 мая,Собственная доставка,,2000.0,Яндекс
56266187328,М26-1754,GGT-35-3-3-100-180,21 мая,Доставлен,5610.78,3500.0,Яндекс
56295418691,М26-1777,GGT-03-2-5-E-12080,23 апреля,Доставлен,4604.28,3500.0,Яндекс
56300736128,М26-1782,GGT-35-2-2-100-180,14 мая,Доставлен,4768.98,4000.0,Яндекс
56327566146,М26-1805,GGT-03-1-3-E-16080,25 апреля,Доставлен,4616.48,3500.0,Яндекс
56357032385,М26-1830,GGT-35-1-2-100-180,22 мая,Доставлен,5519.28,3500.0,Яндекс
56367685123,М26-1837,GGT-35-1-2-100-180,23 мая,Доставлен,3359.88,2000.0,Яндекс
56369579203,М26-1838,GGT-03-3-3-E-14080,24 апреля,Доставлен,5571.0,3500.0,"Яндекс, ПЭК"
56372479747,М26-1855,GGT-03-2-1-O-20090,27 апреля,Доставлен,4605.42,3500.0,"Яндекс, ПЭК"
56372721536,М26-1856,GGT-03-3-5-E-16080-K,27 апреля,Доставлен,3458.8,1500.0,"Яндекс, ПЭК"
56385276610,М26-1858,GGT-35-2-2-100-180,23 мая,Доставлен,3359.88,2500.0,Яндекс
56392764865,М26-1861,GGT-35-2-3-100-180,21 мая,Доставлен,,3500.0,Яндекс
56409548738,М26-1899,GGT-03-3-4-E-16080,28 апреля,Доставлен,4959.3,3500.0,Яндекс
56421766016,М26-1901,GGT-35-1-2-100-180,22 мая,Доставлен,5519.28,3500.0,Яндекс
56421843584,М26-1902,GGT-03-3-3-O-18090,28 апреля,Доставлен,6069.0,3500.0,"Яндекс, ПЭК"
56423321923,М26-1903,GGT-35-1-3-100-180,21 мая,Доставлен,3031.7,2000.0,Яндекс
56423321923,М26-3374,Подстолье KONUX,7 июля,Доставлен,,,"Яндекс, СДЭК"
56432409728,М26-1904,GGT-20-1-5-14080,1 мая,Доставлен,3294.0,3500.0,Яндекс
56433162881,М26-1905,GGT-35-2-2-100-180,22 мая,Доставлен,5610.78,3500.0,Яндекс
56439866560,М26-1906,GGT-03-2-1-O-20090,28 апреля,Доставлен,6430.0,3500.0,"Яндекс, ПЭК"
56442450882,М26-1907,GGT-03-3-3-L-120,1 мая,Доставлен,4976.38,3500.0,Яндекс
56442450882,М26-2287,GGT-03-3-3-L-120,14 мая,Доставлен,4735.09,,"Яндекс, Рекламация, ПЭК"
56442764032,М26-1908,GGT-35-1-2-100-180,25 мая,Доставлен,3359.88,2000.0,Яндекс
56450479936,М26-1910,GGT-03-3-1-E-16080,28 апреля,Доставлен,4379.77,3500.0,Яндекс
56461172736,М26-1912,GGT-35-1-3-100-180,25 мая,Доставлен,3359.88,2000.0,Яндекс
56470952321,М26-1913,GGT-35-1-3-100-180,25 мая,Доставлен,3359.88,2500.0,Яндекс
56482711872,М26-1915,GGT-03-2-1-E-14080,28 апреля,Доставлен,5535.0,4000.0,"Яндекс, ПЭК"
56483929475,М26-1922,2шт GGT-03-1-3-O-20090,1 мая,Доставлен,6380.6,4500.0,Яндекс
56484576256,М26-1923,GGT-03-3-1-E-16080,28 апреля,Доставлен,4320.5,3500.0,"Яндекс, ПЭК"
56494825474,,GGM-17-1-2,30 апреля,Доставлен,3598.39,1200.0,Яндекс
56507776000,М26-1952,GGT-03-3-5-O-18090,14 мая,ОТМЕНЕН,,3500.0,Яндекс
56510995904,,GGM-02-3-2,30 апреля,Доставлен,4580.49,2000.0,Яндекс
56516093185,М26-1955,GGT-03-2-1-O-20090,29 апреля,Доставлен,3031.7,1500.0,Яндекс
56531022145,М26-1963,GGT-03-3-3-L-80,30 апреля,Доставлен,3043.9,2000.0,Яндекс
56535488256,М26-1964,GGT-03-2-2-R-120-160-80,30 апреля,Доставлен,3043.9,2000.0,Яндекс
56543135488,НМ26-34,GGT-03-3-5-O-20090-K,6 мая,Доставлен,12418.0,3500.0,"Яндекс, ПЭК"
56553832835,М26-1977,GGT-03-2-2-E-14080,30 апреля,Доставлен,3043.9,2000.0,Яндекс
56558433922,М26-1978,GGT-03-2-5-E-16080-K,30 апреля,Доставлен,3860.0,2000.0,"Яндекс, ПЭК"
56563329728,М26-1981,GGT-03-3-5-O-18090,14 мая,Доставлен,4659.18,3500.0,Яндекс
56563329728,М26-2503,GGTW-05-18090,26 мая,Доставлен,4415.79,,"Яндекс, Рекламация"
56563946370,,GGM-01-2,7 мая,Собственная доставка,,1200.0,Яндекс
56569394624,М26-1990,GGT-03-2-5-E-16080-K,4 мая,Доставлен,4314.36,3500.0,"Яндекс, ПЭК"
56572838785,М26-1991,GGT-35-1-2-100-180,22 мая,Доставлен,4646.98,3500.0,Яндекс
56579552448,М26-1992,GGT-03-2-1-O-18090,1 мая,Доставлен,3037.8,1500.0,Яндекс
56587699072,М26-1993,GGT-03-1-5-E-16080,1 мая,Доставлен,3043.9,1500.0,Яндекс
56589515585,НС26-127,GGM-08-1-M-LED,28 мая,Собственная доставка,,1500.0,Яндекс
56590118400,НМ26-38,GGR-11-4,21 мая,Доставлен,6459.29,3500.0,Яндекс
56592403840,М26-2000,GGT-35-1-2-100-180,22 мая,Доставлен,3359.88,2000.0,Яндекс
56603865859,М26-2085,GGT-03-3-5-E-12080,6 мая,Доставлен,3573.38,2700.0,Яндекс
56605623939,М26-2086,GGT-03-2-2-E-14080,6 мая,Доставлен,4366.38,4000.0,Яндекс
56626756611,М26-2087,2шт GGT-03-2-2-E-12080,7 мая,Доставлен,3602.66,2000.0,Яндекс
56639908033,М26-2089 М26-2090,GGT-03-2-4-O-18090 GGT-03-3-1-E-14080,6 мая,Доставлен,5920.66,3500.0,Яндекс
56641591043,М26-2091,GGT-03-2-1-O-18090,6 мая,Доставлен,5677.88,3500.0,Яндекс
56666666178,М26-2092,GGT-03-1-5-O-20090,6 мая,Доставлен,5086.18,3500.0,Яндекс
56667943234,М26-2093,GGT-35-2-3-100-180,25 мая,Доставлен,,3500.0,Яндекс
56667943234,М26-2655,"подстолье KONUX, черное, комплект из 2шт",3 июня,Доставлен,5347.5,,"Яндекс, Рекламация"
56671527360,М26-2094,GGT-03-2-2-O-18090,6 мая,Доставлен,4512.78,3500.0,Яндекс
56676988034,М26-2096,GGT-35-1-3-100-180,25 мая,Доставлен,4073.58,3100.0,Яндекс
56677613506,М26-2097,GGT-35-1-3-100-180,25 мая,Доставлен,5665.68,3500.0,Яндекс
56702424896,М26-2095,GGT-03-2-5-E-12080,6 мая,Вернули на склад,6757.58,4000.0,Яндекс
56702424896,М26-2500,GGT-03-2-5-E-12080,26 мая,Доставлен,6757.58,,Яндекс
56723912578,М26-2099,GGT-03-3-3-L-100,7 мая,Доставлен,3256.18,2000.0,Яндекс
56742031809,М26-2104,GGT-03-3-5-E-12080,7 мая,Доставлен,4354.18,4000.0,Яндекс
56749485825,М26-2105,GGT-03-3-3-O-20090,7 мая,ОТМЕНЕН,,3500.0,Яндекс
56758515842,М26-2116,GGT-03-3-3-E-14080,15 мая,Доставлен,,2000.0,Яндекс
56762030337,М26-2117,GGT-03-3-3-O-20090,7 мая,Доставлен,5250.88,3500.0,Яндекс
56789915459,С26-712,B-100-150-9003,7 мая,Доставлен,3174.1,3500.0,"Яндекс, ПЭК"
56793588737,,GGM-18-1-2,7 мая,Доставлен,3445.89,1200.0,Яндекс
56813553410,М26-2144,GGT-03-2-2-E-16080,13 мая,Доставлен,5031.28,3500.0,Яндекс
56813960768,М26-2145,GGT-03-2-4-E-14080,13 мая,Доставлен,5848.68,3500.0,Яндекс
56825892867,М26-2146,GGT-03-3-3-O-18090,8 мая,Доставлен,5677.88,4000.0,Яндекс
56828946307,М26-2147,GGT-03-1-2-E-12080,13 мая,Доставлен,5848.68,4000.0,Яндекс
56833574786,М26-2148,GGT-05-B-160-90,15 мая,Доставлен,6477.34,4500.0,Яндекс
56836066755,М26-2149,GGT-20-2-2-16080,14 мая,Собственная доставка,,800.0,Яндекс
56853479808,М26-2164,GGT-35-1-3-100-180,27 мая,Доставлен,6908.91,3500.0,"Яндекс, ПЭК"
56864253122,М26-2171,2шт GGKP-02-1,13 мая,Доставлен,7315.55,1500.0,"Яндекс, ПЭК"
56874450688,М26-2180,GGT-20-2-5-16080,13 мая,Доставлен,4287.08,3500.0,Яндекс
56880980931,М26-2232,GGT-20-1-3-18090,13 мая,Доставлен,4396.88,3500.0,Яндекс
56881048579,М26-2233,GGT-03-1-5-E-16080-K,14 мая,Доставлен,4014.52,3500.0,"Яндекс, ПЭК"
56886424515,М26-2235,GGT-03-1-3-R-140-170-90,15 мая,Доставлен,5470.48,4100.0,Яндекс
56893679616,М26-2236,GGT-20-1-3-18090,14 мая,Доставлен,6569.09,3500.0,Яндекс
56923450688,М26-2237,GGT-03-3-5-E-16080-K,14 мая,Доставлен,3806.09,2500.0,"Яндекс, ПЭК"
56926339648,М26-2238,GGT-03-3-5-O-18090,14 мая,Доставлен,3372.08,1500.0,Яндекс
56928588226,М26-2239,GGT-03-3-1-O-18090,14 мая,Доставлен,4409.08,3500.0,Яндекс
56945201795,М26-2240,GGK-02-1-4-120,14 мая,ОТМЕНЕН,3970.49,2500.0,Яндекс
56955353730,М26-2241,GGT-03-3-3-E-12080,14 мая,Доставлен,5321.26,4500.0,"Яндекс, ПЭК"
