Артикул,Продавец,Название конкурента,Товар GG,Категория,Квалификация
2272994591,ЛайфМебель,Лайфмебель Стол кухонный обеденный Барон О 200 х 90 белая пленка шагрень / белый,Стол TRUBIS Wood 200х90 см,Стол обеденный,Горячий
2272983488,ЛайфМебель,Лайфмебель Стол кухонный обеденный Барон О 180 х 90 белая пленка шагрень / белый,Стол TRUBIS Wood 180х90 см,Стол обеденный,Горячий
2272984779,ЛайфМебель,Деревянный Кухонный стол Барон О 160 х 90 белая пленка шагрень / белый,Стол TRUBIS Wood 160х80 см,Стол обеденный,Горячий
2157653027,OpenDesing,Стол овальный 140х80 см,Стол TRUBIS Wood 140х80 см,Стол обеденный,Горячий
3486895303,OpenDesing,Стол раздвижной 100-180 см,Стол KONUX 100(180)х100х75 см,Стол обеденный,Горячий
3038842473,OpenDesing,Стол раздвижной 100-180 см,Стол KONUX 100(180)х100х75 см,Стол обеденный,Горячий
3812066727,OpenDesing,Стол раздвижной 100-180 см,Стол KONUX 100(180)х100х75 см,Стол обеденный,Горячий
1604806784,ЛайфМебель,Стол круглый д120 см,Стол TRUBIS Wood L D120,Стол обеденный,Горячий
1861823723,ЛайфМебель,Лайфмебель Стол кухонный обеденный круглый Барел 100 белый / белый,Стол TRUBIS Wood L D100,Стол обеденный,Горячий
3486897457,OpenDesing,Стол круглый д100 см,Стол TRUBIS Wood L D100,Стол обеденный,Горячий
2364313990,ЛайфМебель,Лайфмебель Стол кухонный Барел 89 белый / белый,Стол TRUBIS Wood L D90,Стол обеденный,Горячий
3486895764,OpenDesing,Стол круглый д90 см,Стол TRUBIS Wood L D90,Стол обеденный,Горячий
2272993695,ЛайфМебель,Лайфмебель Стол кухонный деревянный Хьюго О 160 х 90 белая шагрень пленка / белый,Стол VIOLUR 140х80 см,Стол обеденный,Горячий
