goal_id;название;тип;идентификатор (Target для офлайн);цена
487033158;CRM | Все лиды | 18.11.25;action;alllids;
487033859;CRM | Качественные лиды | 18.11.25;action;kach;
487034056;CRM | Некачественные лиды | 18.11.25;action;nekach;
487042450;CRM | Неотказ | 18.11.25;action;neotkaz;
487042359;CRM | Отказ | 18.11.25;action;otkaz;
487043597;CRM | Предоплата | 18.11.25;action;oplata;
487042750;CRM | Заказ отправлен | 18.11.25;action;otprav;
543272618;CRM | Неуспешная сделка | 01.04.26;action;neuspeh;
487043456;CRM | Успешная сделка | 18.11.25;action;uspeh;
477925360;Отправка контактов | 27.10.25;action;lead_;
474556962;Ecommerce: покупка;e_purchase;;
496137033;Обращение в мессенджеры | 19.12.2025;action;WP_dialog_;
488113103;Уникальный звонок;conditional_call;true;
488113104;Уникально-целевой звонок;conditional_call;true;
488113105;Целевой звонок;conditional_call;30;
471188422;Ecommerce: добавление в корзину;e_cart;;
470317307;Глубина 2 | 07.10.25;number;;
470317326;Глубина 3 | 07.10.25;number;;
470318130;Глубина 4 | 07.10.25;number;;
470318180;Глубина 5 | 07.10.25;number;;
470318369;Глубина 6 | 07.10.25;number;;
470318439;Глубина 7 | 07.10.25;number;;
470318492;Глубина 8 | 07.10.25;number;;
470318528;Глубина 9 | 07.10.25;number;;
470318581;Глубина 10 | 07.10.25;number;;
470318615;Глубина 11 | 07.10.25;number;;
470318619;Глубина 12 | 07.10.25;number;;
470318652;Глубина 13 | 07.10.25;number;;
470318655;Глубина 14 | 07.10.25;number;;
470318673;Глубина 15 | 07.10.25;number;;
478079216;Скрол 25% | 27.10.25;action;act_sk25;
470319745;Скрол 50% | 07.10.25;action;act_sk50;
470319803;Скрол 75% | 07.10.25;action;act_sk75;
470319838;Скрол 100% | 07.10.25;action;act_sk100;
478078948;Клик по VK | 27.10.25;action;transition_vk;
478078950;Клик по WA | 27.10.25;action;transition_wa;
478079006;Клик по ТГ | 27.10.25;action;transition_tg;
478079075;Клик по телефону | 27.10.25;action;click_phone;
487138162;Клик по почте | 19.11.25;action;click_mail;
487100025;Активность_0 | 18.11.25;action;act_0;
487101387;Активность_1 | 18.11.25;action;act_1;
487102841;Активность_2 | 18.11.25;action;act_2;
487104204;Активность_3 | 18.11.25;action;act_3;
487106793;Активность_4 | 18.11.25;action;act_4;
487109373;Активность_5 | 18.11.25;action;act_5;
487110865;Активность_4+ | 18.11.25;action;plus_4;
487145120;Клик по кнопке | Рассчитать стоимость | 19.11.25;action;click_button_calculate_cost;
487146671;Клик по кнопке | Получить консультацию | 19.11.25;action;click_button_consultation;
487179250;Отправка формы | Квиз | 19.11.25;action;lead_quiz;
487179427;Отправка формы | Заказать обратный звонок | 19.11.25;action;lead_callback;
487472057;Клик по ссылке | Заказать обратный звонок | 19.11.25;action;click_callback;
487589002;Отправка формы | Заказ с проектом | 19.11.25;action;lead_proect;
487607805;Отправка формы | Рассчитать стоимость | 19.11.25;action;lead_colculator;
487610202;Отправка формы | Подписаться на новости | 19.11.25;action;lead_subscriber;
487612951;Отправка формы | Подбор мебели | 19.11.25;action;lead_podbor;
487614081;Отправка формы | Форма консультации | 19.11.25;action;lead_consultation;
487617992;Отправка формы | Остались вопросы | 19.11.25;action;lead_question;
487625397;Отправка формы | Клуб профессионалов | 19.11.25;action;lead_club;
487631312;Отправка формы | Квиз партнерства | 19.11.25;action;lead_quiz_partners;
487632095;Отправка формы | Получить бокс | 19.11.25;action;lead_box;
487864350;Отправка форм | Дизайнер | Перезвоним | 20.11.25;action;lead_call_designer;
503916094;Отправка формы | Обсудить проект | Popup | 15.01.26;action;lead_popup_exit;
487887997;Звонки | Уникальный звонок | 20.11.25;action;lead_zvonok;
487888387;Письмо | Уникальное письмо | 20.11.25;action;lead_emailtracking;
487897177;Отправка формы | Помощь с выбором | 20.11.25;action;lead_help_selection;
487911689;Хорошие площадки РСЯ | 20.11.25;action;norm_source;
487956247;Просмотрел страницы | 2 | 21.11.25;action;view2;
487956523;Просмотрел страницы | 3 | 21.11.25;action;view3;
488231148;Просмотрел страницы | 5 | 21.11.25;action;view5;
488231154;Просмотрел страницы | 10 | 21.11.25;action;view10;
