id;name;phrase;intent;cat;imp;clicks;spend;visits;leads;expected;p_chance;enough;tv;imp_pos;click_pos;utm_visits;utm_premium;utm_pos_avg;utm_pos1;utm_mobile
5774336420;Складные перегородки | Гармошка;[складные] [перегородки] [гармошка];6 Уточнение исполнения;A конвертит;597;122;16439;111;4;3.91;0.65;в пределах случайности;87;2.6;2;114;90;1.6;59;68
5774336377;Перегородки стекло металл;[перегородки] [стекло] [металл];6 Уточнение исполнения;A конвертит;439;58;12949;56;2;1.86;0.72;в пределах случайности;68;3;2.7;57;98;2.7;19;58
5774336419;Складные перегородки;[складные] [перегородки];7 Базовый тип;A конвертит;387;52;5233;51;4;1.67;0.97;в пределах случайности;80;2.9;2.5;80;85;2.5;39;70
5774336424;Стальные перегородки | Металлические;[металлические] [перегородки];7 Базовый тип;A конвертит;420;25;2198;22;2;0.8;0.95;мало данных;76;3.1;3.3;25;76;2.1;48;40
5774336374;Зеркальные перегородки | Раздвижные;[зеркальные] [раздвижные] [перегородки];6 Уточнение исполнения;A конвертит;70;16;1852;15;2;0.51;0.98;мало данных;80;2.7;3.1;19;79;2.1;26;68
5774336408;Распашные перегородки;[распашные] [перегородки];7 Базовый тип;A конвертит;98;17;1801;17;1;0.54;0.9;мало данных;78;2.5;1.8;17;88;1.7;53;71
5774336422;Складные перегородки | Стеклянные Гармошка;[стеклянные] [перегородки] [гармошка];6 Уточнение исполнения;A конвертит;78;20;1750;19;2;0.64;0.97;мало данных;92;1.7;1.5;21;100;1.4;71;81
5774336423;Складные перегородки | Москве;[складная] [перегородка] [москве];3 Гео;A конвертит;130;17;1734;15;1;0.54;0.9;мало данных;87;2.4;2.3;18;83;1.7;50;72
5774336442;Перегородки для кухни | Стеклянные;[стеклянные] [перегородки] [для] [кухни];5 Помещение;A конвертит;147;17;1541;14;1;0.54;0.9;мало данных;78;2.2;2.3;16;69;2.6;44;69
5774336357;Дизайнерские перегородки;[дизайнерские] [перегородки];7 Базовый тип;A конвертит;38;11;1448;9;1;0.35;0.95;мало данных;78;2.7;2.5;9;100;2.6;33;56
5774336413;Распашные перегородки | Цена;[распашные] [перегородки] [цена];2 Цена;A конвертит;32;8;1252;5;1;0.26;0.97;мало данных;83;2.3;1.9;7;71;1.6;71;71
5774336416;Складные перегородки | Стеклянные;[складные] [стеклянные] [перегородки];6 Уточнение исполнения;A конвертит;55;8;964;5;1;0.26;0.97;мало данных;77;2.5;2.4;6;100;2.8;33;50
5774336392;Телескопические перегородки;[телескопические] [перегородки];7 Базовый тип;A конвертит;78;7;817;9;1;0.22;0.98;мало данных;92;2.3;1.6;11;64;1.3;82;45
5774336369;Зеркальные перегородки | Заказ;[зеркальные] [перегородки] [заказ];1 Заказ / покупка;A конвертит;28;4;671;5;1;0.13;0.99;мало данных;92;2.5;2.3;5;60;2;60;40
5774336375;Зеркальные перегородки | Москве;[зеркальные] [перегородки] [москве];3 Гео;A конвертит;15;3;483;3;1;0.1;1;мало данных;84;2;1;3;100;1;100;0
5774336443;Перегородки для кухни | Раздвижные;[раздвижные] [перегородки] [для] [кухни];5 Помещение;B клики без лидов;89;19;2926;18;0;0.61;0.54;мало данных;85;2.1;2.1;19;79;1.6;63;68
5774336432;Стационарные перегородки;[стационарные] [перегородки];7 Базовый тип;B клики без лидов;130;17;2551;16;0;0.54;0.58;мало данных;78;2.8;1.8;22;95;2.1;50;45
5774336397;Каскадные перегородки | Раздвижные;[каскадные] [раздвижные] [перегородки];6 Уточнение исполнения;B клики без лидов;122;24;2198;20;0;0.77;0.46;мало данных;86;2.4;2.4;21;86;2.1;33;57
5774336378;Матовые перегородки;[матовые] [перегородки];7 Базовый тип;B клики без лидов;160;21;2126;18;0;0.67;0.51;мало данных;70;3.2;2.7;19;95;2.7;21;42
5774336430;Стальные перегородки | Металлические Зонирования;[металлические] [перегородки] [зонирования];4 Зонирование;B клики без лидов;114;16;1803;15;0;0.51;0.6;мало данных;78;2.5;2.7;16;94;2.4;19;69
5774336417;Складные перегородки | Заказ;[складные] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;104;20;1774;20;0;0.64;0.53;мало данных;88;2.7;2.9;21;81;2;52;76
5774336348;Арочные перегородки | Заказ;[арочные] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;28;7;1743;6;0;0.22;0.8;мало данных;87;2.5;2.2;6;100;1.8;33;83
5774336399;Каскадные перегородки | Установкой;[каскадные] [перегородки] [установкой];1 Заказ / покупка;B клики без лидов;111;19;1543;15;0;0.61;0.54;мало данных;84;2.3;2.1;16;63;1.6;56;50
5774336382;Матовые перегородки | Зонирования;[матовые] [перегородки] [зонирования];4 Зонирование;B клики без лидов;45;6;1338;5;0;0.19;0.83;мало данных;80;1.8;1.8;5;100;2.2;40;40
5774336440;Перегородки для кухни;[перегородки] [для] [кухни];5 Помещение;B клики без лидов;138;18;1313;20;0;0.58;0.56;мало данных;80;2.8;3.3;21;86;2.5;29;62
5774336353;Арочные перегородки | Радиусные Заказ;[радиусные] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;48;10;1257;9;0;0.32;0.73;мало данных;86;2.7;1.7;10;80;1.7;60;70
5774336450;Перегородки для студии;[перегородки] [для] [студии];5 Помещение;B клики без лидов;100;15;1136;14;0;0.48;0.62;мало данных;82;2;1.5;15;100;1.6;67;53
5774336425;Стальные перегородки;[стальные] [перегородки];7 Базовый тип;B клики без лидов;88;8;1088;6;0;0.26;0.77;мало данных;75;3.1;3;6;83;2.3;33;33
5774336404;Каскадные перегородки | Межкомнатная;[каскадная] [перегородка] [межкомнатная];5 Помещение;B клики без лидов;107;11;991;10;0;0.35;0.7;мало данных;84;2.3;2.6;11;82;1.9;45;45
5774336363;Дизайнерские перегородки | Стеклянные;[дизайнерские] [стеклянные] [перегородки];6 Уточнение исполнения;B клики без лидов;29;5;857;4;0;0.16;0.85;мало данных;62;3.6;3.5;5;80;1.8;40;80
5774336444;Перегородки для кухни | Кухней Гостиной;[перегородки] [между] [кухней] [гостиной];5 Помещение;B клики без лидов;232;18;828;15;0;0.58;0.56;мало данных;88;2.3;1.9;16;94;1.8;56;63
5774336352;Арочные перегородки | Радиусные;[радиусные] [перегородки];7 Базовый тип;B клики без лидов;103;7;817;5;0;0.22;0.8;мало данных;84;2.9;2.1;5;100;2.6;0;60
