family;groups;imp;clicks;ctr;cpc;spend;at_share_spend;at_share_clicks;traffic_volume;imp_pos;click_pos;visits;bounce;depth;duration_s;leads;contacts;cr;cpl
Складные перегородки;8;1454;254;17.5;112;28433;80;79;85;2.6;2.2;237;27;1.3;954;12;9;4.7;2369
Перегородки стекло металл;1;435;58;13.3;223;12949;100;100;68;3;2.7;56;13;1.9;1087;2;1;3.4;6475
Каскадные перегородки;11;508;78;15.4;95;7428;82;83;85;2.4;2.3;67;21;1.2;2762;0;0;0;
Перегородки для кухни;4;597;72;12.1;92;6608;57;58;84;2.4;2.4;67;13;1.1;382;1;1;1.4;6608
Стальные перегородки;7;775;62;8;105;6522;50;44;76;3;2.9;56;36;1.6;1740;2;1;3.2;3261
Зеркальные перегородки;10;333;51;15.3;104;5323;91;82;85;2.6;2.4;47;15;1.5;374;4;3;7.8;1331
Арочные перегородки;10;306;38;12.4;136;5174;90;84;87;2.5;1.8;32;28;1.6;153;0;0;0;
Распашные перегородки;8;257;36;14;134;4825;72;67;82;2.3;1.9;30;13;1.4;3676;2;1;5.6;2413
Матовые перегородки;7;341;38;11.1;123;4684;26;29;75;2.4;2.2;37;19;1.3;5157;0;0;0;
Дизайнерские перегородки;9;164;25;15.2;128;3201;90;76;82;2.5;2.7;22;14;2;238;1;1;4;3201
Стационарные перегородки;6;186;22;11.8;145;3197;4;5;79;2.8;2.1;22;32;1;165;0;0;0;
Телескопические перегородки;12;253;30;11.9;79;2363;50;73;88;2.5;2;33;18;1.2;960;1;0;3.3;2363
Перегородки для гостиной;5;159;17;10.7;118;2005;37;41;75;2.4;2.4;13;8;1.2;726;0;0;0;
Перегородки для студии;3;118;15;12.7;76;1136;17;27;80;2;1.5;14;14;1.2;329;0;0;0;
Цветные декоративные перегородки;2;59;5;8.5;189;947;53;40;86;2;2.2;4;0;1;1119;0;0;0;
