group_id;family;group;imp;clicks;ctr;cpc;spend;spend_share;at_share;visits;leads;contacts;cr;cpl;last_lead
5774336420;Складные перегородки;Складные перегородки | Гармошка;597;122;20.4;135;16439;17.1;95;111;4;2;3.3;4110;2026-09-24
5774336377;Перегородки стекло металл;Перегородки стекло металл;439;58;13.2;223;12949;13.5;100;56;2;1;3.4;6475;2026-08-10
5774336419;Складные перегородки;Складные перегородки;387;52;13.4;101;5233;5.4;30;51;4;4;7.7;1308;2026-09-08
5774336443;Перегородки для кухни;Перегородки для кухни | Раздвижные;89;19;21.3;154;2926;3.0;55;18;0;0;0.0;;
5774336432;Стационарные перегородки;Стационарные перегородки;130;17;13.1;150;2551;2.7;5;16;0;0;0.0;;
5774336424;Стальные перегородки;Стальные перегородки | Металлические;420;25;6.0;88;2198;2.3;10;22;2;1;8.0;1099;2026-08-07
5774336397;Каскадные перегородки;Каскадные перегородки | Раздвижные;122;24;19.7;92;2198;2.3;79;20;0;0;0.0;;
5774336378;Матовые перегородки;Матовые перегородки;160;21;13.1;101;2126;2.2;0;18;0;0;0.0;;
5774336374;Зеркальные перегородки;Зеркальные перегородки | Раздвижные;70;16;22.9;116;1852;1.9;100;15;2;1;12.5;926;2026-09-03
5774336430;Стальные перегородки;Стальные перегородки | Металлические Зонирования;114;16;14.0;113;1803;1.9;77;15;0;0;0.0;;
5774336408;Распашные перегородки;Распашные перегородки;98;17;17.3;106;1801;1.9;49;17;1;1;5.9;1801;2026-08-23
5774336417;Складные перегородки;Складные перегородки | Заказ;104;20;19.2;89;1774;1.8;100;20;0;0;0.0;;
5774336422;Складные перегородки;Складные перегородки | Стеклянные Гармошка;78;20;25.6;87;1750;1.8;87;19;2;2;10.0;875;2026-09-09
5774336348;Арочные перегородки;Арочные перегородки | Заказ;28;7;25.0;249;1743;1.8;100;6;0;0;0.0;;
5774336423;Складные перегородки;Складные перегородки | Москве;130;17;13.1;102;1734;1.8;81;15;1;0;5.9;1734;2026-09-09
5774336399;Каскадные перегородки;Каскадные перегородки | Установкой;111;19;17.1;81;1543;1.6;100;15;0;0;0.0;;
5774336442;Перегородки для кухни;Перегородки для кухни | Стеклянные;147;17;11.6;91;1541;1.6;95;14;1;1;5.9;1541;2026-09-08
5774336357;Дизайнерские перегородки;Дизайнерские перегородки;38;11;28.9;132;1448;1.5;78;9;1;1;9.1;1448;2026-09-23
5774336382;Матовые перегородки;Матовые перегородки | Зонирования;45;6;13.3;223;1338;1.4;0;5;0;0;0.0;;
5774336440;Перегородки для кухни;Перегородки для кухни;138;18;13.0;73;1313;1.4;5;20;0;0;0.0;;
5774336353;Арочные перегородки;Арочные перегородки | Радиусные Заказ;48;10;20.8;126;1257;1.3;100;9;0;0;0.0;;
5774336413;Распашные перегородки;Распашные перегородки | Цена;32;8;25.0;157;1252;1.3;100;5;1;0;12.5;1252;2026-08-11
5774336450;Перегородки для студии;Перегородки для студии;100;15;15.0;76;1136;1.2;17;14;0;0;0.0;;
5774336425;Стальные перегородки;Стальные перегородки;88;8;9.1;136;1088;1.1;52;6;0;0;0.0;;
5774336404;Каскадные перегородки;Каскадные перегородки | Межкомнатная;107;11;10.3;90;991;1.0;100;10;0;0;0.0;;
5774336416;Складные перегородки;Складные перегородки | Стеклянные;55;8;14.5;121;964;1.0;70;5;1;1;12.5;964;2026-07-23
5774336363;Дизайнерские перегородки;Дизайнерские перегородки | Стеклянные;29;5;17.2;171;857;0.9;100;4;0;0;0.0;;
5774336444;Перегородки для кухни;Перегородки для кухни | Кухней Гостиной;232;18;7.8;46;828;0.9;73;15;0;0;0.0;;
