level;intent;group_id;group;phrase;groups;active;imp;clicks;ctr;cpc;spend;spend_share;at_share;visits;leads;cr;cpl
intent;1 Заказ / покупка;;;;28;26;665;96;14.4;108;10356;11;100;94;1;1;10356
intent;2 Цена;;;;9;9;147;25;17;127;3173;3;90;19;1;4;3173
intent;3 Гео (Москва);;;;7;7;200;26;13;102;2652;3;88;24;2;7.7;1326
intent;4 Зонирование;;;;9;9;443;62;14;104;6423;7;50;60;0;0;
intent;5 Помещение;;;;13;13;1036;123;11.9;92;11325;12;58;111;1;0.8;11325
intent;6 Уточнение исполнения;;;;21;20;1633;278;17;145;40392;42;93;250;11;4;3672
intent;7 Базовый тип;;;;19;19;1879;195;10.4;107;20784;22;29;182;9;4.6;2309
total;ИТОГО;;;;106;103;6003;805;13.4;118;95106;100;72;740;25;3.1;3804
group;1 Заказ / покупка;5774336417;Складные перегородки | Заказ;[складные] [перегородки] [заказ];1;1;102;20;19.6;89;1774;1.9;100;20;0;0;
group;1 Заказ / покупка;5774336348;Арочные перегородки | Заказ;[арочные] [перегородки] [заказ];1;1;27;7;25.9;249;1743;1.8;100;6;0;0;
group;1 Заказ / покупка;5774336399;Каскадные перегородки | Установкой;[каскадные] [перегородки] [установкой];1;1;110;19;17.3;81;1543;1.6;100;15;0;0;
group;1 Заказ / покупка;5774336353;Арочные перегородки | Радиусные Заказ;[радиусные] [перегородки] [заказ];1;1;48;10;20.8;126;1257;1.3;100;9;0;0;
group;1 Заказ / покупка;5774336369;Зеркальные перегородки | Заказ;[зеркальные] [перегородки] [заказ];1;1;27;4;14.8;168;671;0.7;100;5;1;25;671
group;1 Заказ / покупка;5774336380;Матовые перегородки | Заказ;[матовые] [перегородки] [заказ];1;1;57;6;10.5;103;617;0.6;100;6;0;0;
group;1 Заказ / покупка;5774336401;Каскадные перегородки | Заказ;[каскадные] [перегородки] [заказ];1;1;26;5;19.2;109;545;0.6;100;6;0;0;
group;1 Заказ / покупка;5774336384;Матовые перегородки | Производителя;[матовые] [перегородки] [производителя];1;1;36;3;8.3;166;497;0.5;100;8;0;0;
group;1 Заказ / покупка;5774336391;Телескопические перегородки | Купить;[телескопические] [перегородки] [купить];1;1;28;6;21.4;58;348;0.4;100;7;0;0;
group;1 Заказ / покупка;5774336429;Стальные перегородки | Заказ;[стальные] [перегородки] [заказ];1;1;13;2;15.4;163;326;0.3;100;2;0;0;
group;1 Заказ / покупка;5774336358;Дизайнерские перегородки | Заказ;[дизайнерские] [перегородки] [заказ];1;1;1;1;100;310;310;0.3;100;1;0;0;
group;1 Заказ / покупка;5774336415;Распашные перегородки | Маятниковая Стеклянная Купить;[маятниковая] [стеклянная] [перегородка] [купить];1;1;18;3;16.7;87;261;0.3;100;2;0;0;
group;1 Заказ / покупка;5774336403;Каскадные перегородки | Купить;[каскадные] [перегородки] [купить];1;1;21;3;14.3;43;129;0.1;100;3;0;0;
group;1 Заказ / покупка;5774336379;Матовые перегородки | Купить;[матовые] [перегородки] [купить];1;1;39;2;5.1;54;107;0.1;100;0;0;0;
group;1 Заказ / покупка;5774336396;Телескопические перегородки | Изготовление Телескопических Перегородок;[изготовление] [телескопических] [перегородок];1;1;12;1;8.3;107;107;0.1;100;1;0;0;
group;1 Заказ / покупка;5774336388;Телескопические перегородки | Производителя;[телескопические] [перегородки] [производителя];1;1;16;2;12.5;32;64;0.1;100;2;0;0;
group;1 Заказ / покупка;5774336376;Зеркальные перегородки | Изготовление Зеркальных Перегородок;[изготовление] [зеркальных] [перегородок];1;1;29;1;3.4;48;48;0.1;100;1;0;0;
group;1 Заказ / покупка;5774336446;Перегородки для гостиной | Заказ;[перегородки] [для] [гостиной] [заказ];1;1;5;1;20;10;10;0;100;0;0;0;
group;1 Заказ / покупка;5774336350;Арочные перегородки | Купить;[арочная] [перегородка] [купить];1;1;9;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336359;Дизайнерские перегородки | Купить;[дизайнерские] [перегородки] [купить];1;0;0;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336362;Дизайнерские перегородки | Эксклюзивные Заказ;[эксклюзивные] [перегородки] [заказ];1;1;2;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336368;Зеркальные перегородки | Купить;[зеркальные] [перегородки] [купить];1;1;1;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336389;Телескопические перегородки | Заказ;[телескопические] [перегородки] [заказ];1;1;7;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336400;Каскадные перегородки | Производителя;[каскадные] [перегородки] [производителя];1;1;7;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336411;Распашные перегородки | Заказ;[распашные] [перегородки] [заказ];1;1;15;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336433;Стационарные перегородки | Заказ;[стационарные] [перегородки] [заказ];1;1;7;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336441;Перегородки для кухни | Заказ;[перегородки] [для] [кухни] [заказ];1;0;0;0;0;0;0;0;0;0;0;0;
group;1 Заказ / покупка;5774336451;Перегородки для студии | Заказ;[перегородки] [для] [студии] [заказ];1;1;2;0;0;0;0;0;0;0;0;0;
group;2 Цена;5774336413;Распашные перегородки | Цена;[распашные] [перегородки] [цена];1;1;32;8;25;157;1252;1.3;100;5;1;12.5;1252
group;2 Цена;5774336398;Каскадные перегородки | Цена;[каскадные] [перегородки] [цена];1;1;13;4;30.8;176;706;0.7;57;3;0;0;
group;2 Цена;5774336371;Зеркальные перегородки | Цена;[зеркальные] [перегородки] [цена];1;1;34;5;14.7;137;684;0.7;99;5;0;0;
group;2 Цена;5774336421;Складные перегородки | Цена;[складные] [перегородки] [цена];1;1;59;8;13.6;66;531;0.6;100;6;0;0;
group;2 Цена;5774336354;Арочные перегородки | Цена;[арочные] [перегородки] [цена];1;1;3;0;0;0;0;0;0;0;0;0;
group;2 Цена;5774336364;Дизайнерские перегородки | Цена;[дизайнерские] [перегородки] [цена];1;1;1;0;0;0;0;0;0;0;0;0;
group;2 Цена;5774336381;Матовые перегородки | Цена;[матовые] [перегородки] [цена];1;1;3;0;0;0;0;0;0;0;0;0;
group;2 Цена;5774336386;Телескопические перегородки | Цена;[телескопические] [перегородки] [цена];1;1;1;0;0;0;0;0;0;0;0;0;
group;2 Цена;5774336437;Стационарные перегородки | Цена;[стационарные] [перегородки] [цена];1;1;1;0;0;0;0;0;0;0;0;0;
group;3 Гео (Москва);5774336423;Складные перегородки | Москве;[складная] [перегородка] [москве];1;1;126;17;13.5;102;1734;1.8;81;15;1;5.9;1734
group;3 Гео (Москва);5774336375;Зеркальные перегородки | Москве;[зеркальные] [перегородки] [москве];1;1;15;3;20;161;483;0.5;100;3;1;33.3;483
group;3 Гео (Москва);5774336402;Каскадные перегородки | Москва;[каскадные] [перегородки] [москва];1;1;7;2;28.6;117;234;0.2;100;2;0;0;
group;3 Гео (Москва);5774336356;Арочные перегородки | Москве;[арочные] [перегородки] [москве];1;1;38;4;10.5;50;202;0.2;100;4;0;0;
group;3 Гео (Москва);5774336365;Дизайнерские перегородки | Москве;[дизайнерские] [перегородки] [москве];1;1;2;0;0;0;0;0;0;0;0;0;
group;3 Гео (Москва);5774336383;Матовые перегородки | Москве;[матовые] [перегородки] [москве];1;1;8;0;0;0;0;0;0;0;0;0;
group;3 Гео (Москва);5774336390;Телескопические перегородки | Москва;[телескопические] [перегородки] [москва];1;1;4;0;0;0;0;0;0;0;0;0;
group;4 Зонирование;5774336430;Стальные перегородки | Металлические Зонирования;[металлические] [перегородки] [зонирования];1;1;111;15;13.5;119;1778;1.9;78;14;0;0;
group;4 Зонирование;5774336382;Матовые перегородки | Зонирования;[матовые] [перегородки] [зонирования];1;1;43;6;14;223;1338;1.4;0;5;0;0;
group;4 Зонирование;5774336436;Стационарные перегородки | Зонирования;[стационарная] [перегородка] [зонирования];1;1;24;4;16.7;155;620;0.7;0;5;0;0;
group;4 Зонирование;5774336370;Зеркальные перегородки | Зонирования;[зеркальные] [перегородки] [зонирования];1;1;45;9;20;68;609;0.6;92;7;0;0;
group;4 Зонирование;5774336360;Дизайнерские перегородки | Зонирования;[дизайнерские] [перегородки] [зонирования];1;1;78;8;10.3;73;586;0.6;98;8;0;0;
group;4 Зонирование;5774336418;Складные перегородки | Зонирования;[складные] [перегородки] [зонирования];1;1;74;12;16.2;48;579;0.6;47;14;0;0;
group;4 Зонирование;5774336449;Перегородки для гостиной | Зонирования;[перегородки] [для] [зонирования] [гостиной];1;1;45;5;11.1;96;481;0.5;28;5;0;0;
group;4 Зонирование;5774336407;Каскадные перегородки | Зонирования;[каскадная] [перегородка] [зонирования];1;1;16;3;18.8;144;432;0.5;72;2;0;0;
group;4 Зонирование;5774336394;Телескопические перегородки | Телескопическая Зонирования;[телескопическая] [перегородка] [зонирования];1;1;7;0;0;0;0;0;0;0;0;0;
group;5 Помещение;5774336443;Перегородки для кухни | Раздвижные;[раздвижные] [перегородки] [для] [кухни];1;1;89;19;21.3;154;2926;3.1;55;18;0;0;
group;5 Помещение;5774336442;Перегородки для кухни | Стеклянные;[стеклянные] [перегородки] [для] [кухни];1;1;143;17;11.9;91;1541;1.6;95;14;1;5.9;1541
group;5 Помещение;5774336440;Перегородки для кухни;[перегородки] [для] [кухни];1;1;137;18;13.1;73;1313;1.4;5;20;0;0;
group;5 Помещение;5774336450;Перегородки для студии;[перегородки] [для] [студии];1;1;99;15;15.2;76;1136;1.2;17;14;0;0;
group;5 Помещение;5774336404;Каскадные перегородки | Межкомнатная;[каскадная] [перегородка] [межкомнатная];1;1;107;11;10.3;90;991;1;100;10;0;0;
group;5 Помещение;5774336444;Перегородки для кухни | Кухней Гостиной;[перегородки] [между] [кухней] [гостиной];1;1;229;18;7.9;46;828;0.9;73;15;0;0;
group;5 Помещение;5774336447;Перегородки для гостиной | Стеклянные;[стеклянные] [перегородки] [для] [гостиной];1;1;51;5;9.8;153;766;0.8;41;4;0;0;
group;5 Помещение;5774336448;Перегородки для гостиной | Раздвижные;[раздвижные] [перегородки] [для] [гостиной];1;1;44;6;13.6;125;748;0.8;37;4;0;0;
group;5 Помещение;5774336428;Стальные перегородки | Металлические Межкомнатные;[металлические] [перегородки] [межкомнатные];1;1;43;6;14;87;519;0.5;94;5;0;0;
group;5 Помещение;5774336372;Зеркальные перегородки | Межкомнатные;[зеркальные] [перегородки] [межкомнатные];1;1;48;6;12.5;73;437;0.5;100;6;0;0;
group;5 Помещение;5774336373;Зеркальные перегородки | Комнату;[зеркальная] [перегородка] [комнату];1;1;11;2;18.2;60;119;0.1;100;1;0;0;
group;5 Помещение;5774336445;Перегородки для гостиной;[перегородки] [для] [гостиной];1;1;18;0;0;0;0;0;0;0;0;0;
group;5 Помещение;5774336452;Перегородки для студии | Стеклянные;[стеклянные] [перегородки] [для] [студии];1;1;17;0;0;0;0;0;0;0;0;0;
group;6 Уточнение исполнения;5774336420;Складные перегородки | Гармошка;[складные] [перегородки] [гармошка];1;1;591;121;20.5;133;16152;17;95;110;4;3.3;4038
group;6 Уточнение исполнения;5774336377;Перегородки стекло металл;[перегородки] [стекло] [металл];1;1;438;58;13.2;223;12949;13.6;100;56;2;3.4;6475
group;6 Уточнение исполнения;5774336397;Каскадные перегородки | Раздвижные;[каскадные] [раздвижные] [перегородки];1;1;122;24;19.7;92;2198;2.3;79;20;0;0;
group;6 Уточнение исполнения;5774336374;Зеркальные перегородки | Раздвижные;[зеркальные] [раздвижные] [перегородки];1;1;69;16;23.2;116;1852;1.9;100;15;2;12.5;926
group;6 Уточнение исполнения;5774336422;Складные перегородки | Стеклянные Гармошка;[стеклянные] [перегородки] [гармошка];1;1;78;20;25.6;87;1750;1.8;87;19;2;10;875
