"Device Report fixed 20260708a (2026-06-08 - 2026-07-08)"
CampaignName	CampaignId	Device	Impressions	Clicks	Ctr	AvgCpc	Cost	Conversions
Ретаргетинг | Товары	706983545	DESKTOP	111	0	0.00	--	0.00	0
Ретаргетинг | Каталог	706995323	DESKTOP	4	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	710747853	DESKTOP	1570	188	11.97	104.57	19659.07	164
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	710747853	MOBILE	2572	296	11.51	84.75	25085.94	254
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	710747853	TABLET	53	7	13.21	41.19	288.33	7
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	DESKTOP	4642	109	2.35	190.55	20770.34	99
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	MOBILE	13892	333	2.40	108.64	36177.95	288
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	SMART_TV	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	TABLET	147	5	3.40	269.67	1348.35	5
Total rows: 9
