"Keyword Report fixed 20260708a (2026-06-08 - 2026-07-08)"
CampaignName	AdGroupName	Criteria	CriteriaId	Impressions	Clicks	Ctr	AvgCpc	Cost	Conversions	CostPerConversion
Ретаргетинг | Товары	Товары | Столы		305712025775	3	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Зеркала		305712031662	10	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Дизайнерские столы		305712090848	14	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Дизайнерские зеркала		305712090850	36	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Журнальные столики		305712090852	5	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Большие столы		305712090854	9	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Зеркала в раме		305712090856	3	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Керамические столы		305712090860	1	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Лофт перегородки		305712090864	3	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Межкомнатные перегородки		305712102373	12	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Обеденные столы		305712102374	11	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Рабочие столы		305712102375	3	0	0.00	--	0.00	0	--
Ретаргетинг | Товары	Товары | Дизайнерские перегородки		305712102377	1	0	0.00	--	0.00	0	--
Ретаргетинг | Каталог	Каталог | Зеркала		305712102470	1	0	0.00	--	0.00	0	--
Ретаргетинг | Каталог	Каталог | Рабочие столы		305712102482	1	0	0.00	--	0.00	0	--
Ретаргетинг | Каталог	Каталог | Реечные перегородки		305712102483	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	---autotargeting	205760668462	161	11	6.83	135.19	1487.13	8	185.89
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[лофт] [перегородки] -дверью -заказ -зонирования -купить -производителя -раздвижные -стеклянные -стеллаж -стиле -цена	57457063315	33	1	3.03	337.07	337.07	1	337.07
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[лофт] [перегородки] [зонирования]	57457063322	5	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[лофт] [перегородки] [купить]	57457063317	1	1	100.00	53.34	53.34	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[лофт] [перегородки] [цена]	57457063319	1	1	100.00	108.30	108.30	1	108.30
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[перегородки] [лофт] [дверью]	57457063325	2	1	50.00	294.50	294.50	1	294.50
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[перегородки] [стиле] [лофт] -москва	57457063316	3	1	33.33	235.05	235.05	1	235.05
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[раздвижные] [лофт] [перегородки]	57457063326	6	1	16.67	90.12	90.12	1	90.12
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	[стеклянные] [перегородки] [лофт]	57457063321	3	1	33.33	533.87	533.87	1	533.87
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	---autotargeting	205760668463	272	36	13.24	128.41	4622.86	34	135.97
