"SearchQuery Report fixed 20260708a (2026-06-25 - 2026-07-08)"
CampaignName	AdGroupName	Query	Impressions	Clicks	Ctr	AvgCpc	Cost	Conversions
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	архитектурный проект перегородок	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	дизайнерские металлические перегородки для зонирования пространства	3	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	компания перегородки на заказ есть ли такая	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегор двери	2	1	50.00	97.66	97.66	1
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородка	10	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородка заказать в москве	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородка стальная	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки	13	1	7.69	164.51	164.51	1
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки без закладной	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки для зонирования комнаты на роликах	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки москва	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки москва готовые купить	1	1	100.00	53.34	53.34	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки с распашными дверями	2	1	50.00	294.50	294.50	1
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	лофт перегородки фристайл	1	1	100.00	337.07	337.07	1
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	мебельные перегородки на столы стеклянные	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	межкомнатная перегородка лофт 178 на 240	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	межкомнатная перегородка лофт распашная	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	межкомнатные перегородки из металла	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	межкомнатные перегородки из стекла лофт	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	металлические перегородки	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	металлические перегородки под заказ	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	металлические перегородки под заказ со стеклом	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	необычные конструкции из стекла и металла для зонирования интерьера	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка в стиле лофт	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка для зонирования комнаты в стиле лофт	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка для студии лофт	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка из металла и стекла	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка из профильной трубы в стиле лофт	1	1	100.00	235.05	235.05	1
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка лофт	3	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка лофт с зеркалом	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка металлическая	2	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородка на пол стены лофт	1	0	0.00	--	0.00	0
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Лофт перегородки	перегородки в стиле лофт	1	0	0.00	--	0.00	0
